feature,value,fp0_share,tn0_share,abs_diff,signed_diff
lead_utm_device_type,mobile,0.6578233343382575,0.07007933509633547,0.587743999241922,0.587743999241922
lead_utm_group,unknown,0.053361471208923726,0.6114469210426898,0.5580854498337661,-0.5580854498337661
lead_utm_device_type,unknown,0.18736810370817003,0.7295051001133358,0.5421369964051658,-0.5421369964051658
lead_utm_referrer_site,unknown,0.24555321073258968,0.7483944087646393,0.5028411980320495,-0.5028411980320495
lead_utm_referrer_site,artraid,0.6106421465179379,0.11295806573479411,0.4976840807831438,0.4976840807831438
lead_tags,tilda,0.5293940307506784,0.07442387608613525,0.4549701546645431,0.4549701546645431
lead_utm_referrer,unknown,0.3887548990051251,0.8296184359652437,0.44086353696011854,-0.44086353696011854
lead_utm_group,dem,0.3644859813084112,0.0432565168114847,0.3212294644969265,0.3212294644969265
lead_delivery_type,pickup_point,0.6165209526680736,0.8689081979599547,0.25238724529188106,-0.25238724529188106
lead_tags,artraid,0.0007536930961712391,0.22232716282584059,0.22157346972966935,-0.22157346972966935
lead_delivery_type,post,0.23605667772083208,0.026256139025311674,0.2098005386955204,0.2098005386955204
lead_utm_referrer,varikoz,0.21706361169731686,0.009255761239138648,0.2078078504581782,0.2078078504581782
lead_tags,unknown,0.030750678323786553,0.20457121269361542,0.17382053436982886,-0.17382053436982886
lead_height_bin,unknown,0.430660235152246,0.3061956932376275,0.12446454191461848,0.12446454191461848
lead_height_bin,small,0.0996382273138378,0.219115980355119,0.1194777530412812,-0.1194777530412812
lead_payment_type,online,0.0,0.11749149981110692,0.11749149981110692,-0.11749149981110692
lead_payment_type,cash_on_delivery,0.9992463069038288,0.8821307140158671,0.1171155928879617,0.1171155928879617
lead_tags,Callibri,0.22399758818209226,0.11654703437854175,0.10745055380355051,0.10745055380355051
lead_tags,npotpz,0.14742236961109437,0.25406120136003024,0.10663883174893588,-0.10663883174893588
lead_utm_referrer,sustav,0.10084413626771178,0.00415564790328674,0.09668848836442505,0.09668848836442505
lead_utm_group,but,0.09873379559843232,0.01511144692104269,0.08362234867738963,0.08362234867738963
lead_utm_group,yur,0.34956285800422066,0.27446165470343786,0.07510120330078279,0.07510120330078279
lead_utm_referrer_site,npotpz,0.1377750979801025,0.07310162448054401,0.0646734734995585,0.0646734734995585
lead_tags,ВХОДЯЩИЙ,0.06768164003617727,0.1280695126558368,0.06038787261965953,-0.06038787261965953
lead_utm_referrer_site,other,0.006029544769369913,0.06554590102002267,0.059516356250652755,-0.059516356250652755
lead_utm_group,nim,0.10868254446789267,0.050812240272006044,0.05787030419588663,0.05787030419588663
lead_utm_referrer,otek,0.060144709074464876,0.002455610124669437,0.05768909894979544,0.05768909894979544
lead_utm_device_type,desktop,0.13867952969550798,0.1887041934265206,0.05002466373101261,-0.05002466373101261
lead_utm_referrer,sleep,0.10400964727163099,0.05440120891575368,0.04960843835587731,0.04960843835587731
lead_delivery_type,door_delivery,0.14712089237262588,0.10483566301473365,0.04228522935789222,0.04228522935789222
lead_height_bin,large,0.08772987639433223,0.11522478277295051,0.027494906378618275,-0.027494906378618275
lead_height_bin,medium,0.381971661139584,0.359463543634303,0.022508117505280978,0.022508117505280978
lead_utm_referrer,davlenie,0.020198974977389206,0.00037778617302606723,0.01982118880436314,0.01982118880436314
lead_utm_group,gus,0.02276153150437142,0.004344540989799773,0.018416990514571647,0.018416990514571647
lead_utm_referrer,other,0.10898402170636116,0.09973554967888175,0.009248472027479415,0.009248472027479415
lead_utm_device_type,tablet,0.016129032258064516,0.011711371363808084,0.004417660894256431,0.004417660894256431
lead_utm_group,rare_utm_group,0.002411817907747965,0.0005666792595391009,0.0018451386482088643,0.0018451386482088643
lead_payment_type,unknown,0.0007536930961712391,0.00037778617302606723,0.00037590692314517187,0.00037590692314517187
lead_delivery_type,unknown,0.00030147723846849563,0.0,0.00030147723846849563,0.00030147723846849563
